127.0.0.1 - - [11/Dec/2020:00:48:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:53 +0900] "GET /login/main.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:53 +0900] "GET /login/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:53 +0900] "GET /login/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:57 +0900] "GET /login/login.jsp HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:57 +0900] "GET /login/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:48:57 +0900] "GET /login/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:49:08 +0900] "POST /login/loginAction.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:49:14 +0900] "POST /login/loginAction.jsp HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:49:14 +0900] "GET /login/main.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:49:14 +0900] "GET /login/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:00:49:14 +0900] "GET /login/js/bootstrap.js HTTP/1.1" 304 -
